#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.342848E+00   0.391975E+06   0.389823E+06   0.724000E-01  -0.129778E+00   0.000000E+00   0.391587E+06   0.391587E+06   0.391587E+06  -0.870692E-02   0.181107E+06   0.181081E+06   0.248878E-01
   0.347680E+00   0.384355E+06   0.382273E+06   0.690342E-01  -0.123744E+00   0.000000E+00   0.383980E+06   0.383980E+06   0.383980E+06  -0.853776E-02   0.177588E+06   0.177564E+06   0.238484E-01
   0.352512E+00   0.376953E+06   0.374936E+06   0.658625E-01  -0.118058E+00   0.000000E+00   0.376590E+06   0.376590E+06   0.376590E+06  -0.837346E-02   0.174171E+06   0.174147E+06   0.228934E-01
   0.357344E+00   0.369645E+06   0.367682E+06   0.628515E-01  -0.112660E+00   0.000000E+00   0.369292E+06   0.369292E+06   0.369292E+06  -0.821118E-02   0.170795E+06   0.170772E+06   0.220448E-01
   0.362176E+00   0.362350E+06   0.360430E+06   0.599781E-01  -0.107510E+00   0.000000E+00   0.362004E+06   0.362004E+06   0.362004E+06  -0.804914E-02   0.167425E+06   0.167402E+06   0.213044E-01
   0.367008E+00   0.355050E+06   0.353164E+06   0.572323E-01  -0.102588E+00   0.000000E+00   0.354711E+06   0.354711E+06   0.354711E+06  -0.788697E-02   0.164052E+06   0.164029E+06   0.206566E-01
   0.371840E+00   0.347800E+06   0.345940E+06   0.546155E-01  -0.978981E-01   0.000000E+00   0.347465E+06   0.347465E+06   0.347465E+06  -0.772587E-02   0.160701E+06   0.160678E+06   0.200754E-01
   0.376672E+00   0.340685E+06   0.338847E+06   0.521339E-01  -0.934502E-01   0.000000E+00   0.340354E+06   0.340354E+06   0.340354E+06  -0.756776E-02   0.157412E+06   0.157390E+06   0.195313E-01
   0.381504E+00   0.333782E+06   0.331966E+06   0.497912E-01  -0.892514E-01   0.000000E+00   0.333455E+06   0.333455E+06   0.333455E+06  -0.741435E-02   0.154221E+06   0.154199E+06   0.189981E-01
   0.386336E+00   0.327149E+06   0.325358E+06   0.475882E-01  -0.853026E-01   0.000000E+00   0.326826E+06   0.326826E+06   0.326826E+06  -0.726695E-02   0.151155E+06   0.151134E+06   0.184576E-01
   0.391168E+00   0.320829E+06   0.319068E+06   0.455230E-01  -0.816007E-01   0.000000E+00   0.320512E+06   0.320512E+06   0.320512E+06  -0.712656E-02   0.148235E+06   0.148214E+06   0.179030E-01
   0.396000E+00   0.314838E+06   0.313111E+06   0.435893E-01  -0.781346E-01   0.000000E+00   0.314527E+06   0.314527E+06   0.314527E+06  -0.699348E-02   0.145467E+06   0.145446E+06   0.173376E-01
   0.400832E+00   0.309141E+06   0.307453E+06   0.417752E-01  -0.748826E-01   0.000000E+00   0.308837E+06   0.308837E+06   0.308837E+06  -0.686697E-02   0.142835E+06   0.142815E+06   0.167714E-01
   0.405664E+00   0.303678E+06   0.302028E+06   0.400654E-01  -0.718176E-01   0.000000E+00   0.303381E+06   0.303381E+06   0.303381E+06  -0.674565E-02   0.140312E+06   0.140292E+06   0.162177E-01
   0.410496E+00   0.298389E+06   0.296777E+06   0.384466E-01  -0.689157E-01   0.000000E+00   0.298099E+06   0.298099E+06   0.298099E+06  -0.662821E-02   0.137869E+06   0.137850E+06   0.156894E-01
   0.415328E+00   0.293230E+06   0.291653E+06   0.369081E-01  -0.661577E-01   0.000000E+00   0.292946E+06   0.292946E+06   0.292946E+06  -0.651364E-02   0.135486E+06   0.135467E+06   0.151961E-01
   0.420160E+00   0.288159E+06   0.286614E+06   0.354405E-01  -0.635271E-01   0.000000E+00   0.287881E+06   0.287881E+06   0.287881E+06  -0.640102E-02   0.133143E+06   0.133125E+06   0.147416E-01
